Model id,Region id,cost
1.0,1.0,26.969984380872468
1.0,1.0,23.195823148418476
1.0,1.0,24.31422206131564
1.0,1.0,23.982570712736624
1.0,1.0,25.516951347043914
1.0,2.0,25.30457621981163
1.0,2.0,25.736299697686185
1.0,2.0,25.981941504903332
1.0,2.0,35.30951503463819
1.0,2.0,18.757374716299474
1.0,3.0,15.635696960778507
1.0,3.0,21.883017518719363
1.0,3.0,29.75365870790742
1.0,3.0,23.587304351683052
1.0,3.0,23.93813344649951
1.0,4.0,32.7117001076354
1.0,4.0,28.13360660162444
1.0,4.0,23.294883852460874
1.0,4.0,23.564763934372586
1.0,4.0,22.79979157556088
2.0,1.0,22.437203552177326
2.0,1.0,16.706808219780033
2.0,1.0,15.338906588110591
2.0,1.0,23.351976594435435
2.0,1.0,28.845813115431746
2.0,2.0,15.622999962069834
2.0,2.0,14.177564865343228
2.0,2.0,19.975954843245916
2.0,2.0,17.17030294351357
2.0,2.0,11.578695735057883
2.0,3.0,9.012861291768422
2.0,3.0,13.355587192469653
2.0,3.0,18.21638594013005
2.0,3.0,12.082489319854012
2.0,3.0,16.714052967499043
2.0,4.0,19.545174003527844
2.0,4.0,17.333647070930226
2.0,4.0,17.157504599200998
2.0,4.0,17.68874594668761
2.0,4.0,18.31631054712343
3.0,1.0,21.231573119220354
3.0,1.0,15.33037327739371
3.0,1.0,13.172055413370781
3.0,1.0,22.537897653991422
3.0,1.0,27.555558587353005
3.0,2.0,13.211282895490363
3.0,2.0,11.159066515226314
3.0,2.0,18.63853758727802
3.0,2.0,15.202314036376784
3.0,2.0,9.696303355832125
3.0,3.0,7.387176528748081
3.0,3.0,11.594466219874429
3.0,3.0,15.163068072111516
3.0,3.0,9.110906502594162
3.0,3.0,14.922436469918978
3.0,4.0,16.45692954646127
3.0,4.0,14.139702724303913
3.0,4.0,15.650219943788983
3.0,4.0,16.09088812989675
3.0,4.0,17.05331737519907
4.0,1.0,20.679357022345837
4.0,1.0,14.687460723234896
4.0,1.0,12.186526919673051
4.0,1.0,22.15032791110222
4.0,1.0,26.96573544585009
4.0,2.0,12.111243497275378
4.0,2.0,9.76015720127661
4.0,2.0,18.02781089463356
4.0,2.0,14.285754836764681
4.0,2.0,8.827149063873364
4.0,3.0,6.6449754641622185
4.0,3.0,10.788089447742639
4.0,3.0,13.796173648908207
4.0,3.0,7.738348765974571
4.0,3.0,14.102253808273447
4.0,4.0,15.05036217777099
4.0,4.0,12.705653331839992
4.0,4.0,14.951700562172423
4.0,4.0,15.352021809778726
4.0,4.0,16.476740446333228
