Model id,Region id,cost
1.0,1.0,29.310291079483548
1.0,1.0,169.2495094981092
1.0,1.0,29.124884945346942
1.0,1.0,20.526458652832133
1.0,1.0,166.9728015963229
1.0,2.0,20.170240859292157
1.0,2.0,21.332269093809202
1.0,2.0,107.28116207203414
1.0,2.0,188.48185583688888
1.0,2.0,175.45847112117548
1.0,3.0,172.38219739840878
1.0,3.0,185.77826807573243
1.0,3.0,29.28000463290209
1.0,3.0,29.50651937989248
1.0,3.0,173.57580370566745
2.0,1.0,25.04303560943178
2.0,1.0,151.38364358930528
2.0,1.0,32.33204436920356
2.0,1.0,15.330280199431492
2.0,1.0,141.9993759575874
2.0,2.0,15.928736494828748
2.0,2.0,15.666366157040324
2.0,2.0,162.16471713158967
2.0,2.0,163.62643145432511
2.0,2.0,153.72302466965158
2.0,3.0,155.61926983630696
2.0,3.0,167.0525673432713
2.0,3.0,15.113324994963635
2.0,3.0,19.296138024071382
2.0,3.0,157.6430903549197
3.0,1.0,23.90072930516592
3.0,1.0,151.2124147726385
3.0,1.0,31.330832113937916
3.0,1.0,14.145201167862984
3.0,1.0,139.45805091058463
3.0,2.0,14.808748116900864
3.0,2.0,14.562957470852671
3.0,2.0,158.33978808923933
3.0,2.0,158.0237795497406
3.0,2.0,149.1129134861866
3.0,3.0,151.65618161439934
3.0,3.0,160.82492925517192
3.0,3.0,13.091940754810338
3.0,3.0,16.912255861621095
3.0,3.0,151.64826425809142
