Model id,Volume,Total,Ratio
1.0,1043313004053.3622,3.866802039122118e+19,2.6981288245369448e-08
1.0,1090028511697.5426,3.866802039122118e+19,2.8189405629490467e-08
1.0,1012169332290.5752,3.866802039122118e+19,2.6175876655955433e-08
1.0,988811578468.485,3.866802039122118e+19,2.5571817963894923e-08
1.0,1331391967859.1414,3.866802039122118e+19,3.443134544744907e-08
1.0,1051098921994.059,3.866802039122118e+19,2.718264114272295e-08
1.0,996597496409.1819,3.866802039122118e+19,2.577317086124843e-08
1.0,957667906705.6981,3.866802039122118e+19,2.476640637448091e-08
1.0,1167887691104.5098,3.866802039122118e+19,3.0202934603025494e-08
1.0,1012169332290.5752,3.866802039122118e+19,2.6175876655955433e-08
2.0,276230349253.8081,3.866802039122118e+19,7.143638243154563e-09
2.0,304627861793.91925,3.866802039122118e+19,7.878030959740547e-09
2.0,271067165155.6061,3.866802039122118e+19,7.010112294684385e-09
2.0,278811941302.9092,3.866802039122118e+19,7.210401217389654e-09
2.0,265903981057.40408,3.866802039122118e+19,6.876586346214206e-09
2.0,296883085646.6162,3.866802039122118e+19,7.677742037035278e-09
2.0,263322389008.3031,3.866802039122118e+19,6.809823371979117e-09
2.0,312372637941.2223,3.866802039122118e+19,8.078319882445815e-09
2.0,263322389008.3031,3.866802039122118e+19,6.809823371979117e-09
2.0,286556717450.21216,3.866802039122118e+19,7.410690140094921e-09
3.0,639477269328.0115,3.866802039122118e+19,1.6537626256998464e-08
3.0,674613383027.3527,3.866802039122118e+19,1.7446287040350027e-08
3.0,541096150969.85583,3.866802039122118e+19,1.3993376063614084e-08
3.0,590286710148.9336,3.866802039122118e+19,1.5265501160306275e-08
3.0,590286710148.9336,3.866802039122118e+19,1.5265501160306275e-08
3.0,646504492067.8796,3.866802039122118e+19,1.6719358413668777e-08
3.0,597313932888.8019,3.866802039122118e+19,1.5447233316976588e-08
3.0,695695051246.9575,3.866802039122118e+19,1.7991483510360966e-08
3.0,646504492067.8796,3.866802039122118e+19,1.6719358413668777e-08
3.0,590286710148.9336,3.866802039122118e+19,1.5265501160306275e-08
4.0,728310854316.5135,3.866802039122118e+19,1.8834966128285746e-08
4.0,822053835565.1738,3.866802039122118e+19,2.125926869925322e-08
4.0,858108828353.1201,3.866802039122118e+19,2.2191692765009945e-08
4.0,721099855758.9244,3.866802039122118e+19,1.8648481315134406e-08
4.0,908585818256.2448,3.866802039122118e+19,2.349708645706935e-08
4.0,800420839892.4061,3.866802039122118e+19,2.069981425979919e-08
4.0,764365847104.4598,3.866802039122118e+19,1.976739019404247e-08
4.0,886952822583.477,3.866802039122118e+19,2.293763201761532e-08
4.0,692255861528.5674,3.866802039122118e+19,1.790254206252903e-08
4.0,728310854316.5135,3.866802039122118e+19,1.8834966128285746e-08
